ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
36,     1,     1,     3,     9,     1,     6,     8,     4,     2,    10,     7,     6,     4,     1,     8,     4,    10,     4,     7,     4
37,     4,     7,     9,     4,     0,     6,     4,     5,     7,     3,     2,     9,     1,     5,     3,     3,     4,     2,     2,     5
38,     8,     9,    10,     7,     0,     6,     4,     3,     7,     4,     0,     3,     4,     1,     4,     6,     5,     3,     0,     6
39,    10,     6,     6,     9,     9,     7,     8,     5,     5,     1,     2,     8,     6,     1,     1,     4,     0,     5,     5,     2
40,     2,     2,     3,     6,     5,     8,     6,     4,     3,     9,     7,     8,     8,     3,     7,     4,     7,     5,     4,     6
41,     3,     3,     4,     8,     3,     5,     9,     5,     1,    10,    10,     5,    10,     1,     6,     8,    10,     7,     3,     6
42,     2,     3,     4,     6,     2,     7,     9,     6,     1,     7,     4,     6,     7,     4,     6,     4,     8,     3,     5,     7
43,     5,     1,     4,     9,     4,     5,     9,     3,     1,     9,     9,     6,     6,     4,     6,     4,    10,     6,     5,     3
44,     4,     5,     6,     7,     7,     7,     5,     3,     3,     7,     5,     6,     6,     4,     3,     9,     9,     5,     5,     0
45,     2,     7,     9,     6,     0,     5,     4,     6,     8,     4,     1,     5,     3,     2,     3,     7,     7,     5,     0,     2
46,     0,     1,     3,     8,     4,     7,     7,     4,     0,     9,     7,     3,     6,     2,     6,     7,     7,     7,     6,     4
47,    10,    10,     5,     8,     7,     6,     8,     7,     5,     1,     1,     6,     0,     2,     3,     4,     2,     8,     5,     3
48,     4,     6,    10,     5,     1,     7,     5,     5,     7,     3,     0,     5,     8,     5,     2,     3,     8,     4,     0,     3
49,     6,     2,     8,     9,     7,     3,     6,     4,     7,     8,     2,     8,     2,     5,     2,     3,     8,     3,     6,     2
50,     5,     7,     9,     6,     0,     9,     4,     6,     8,     3,     0,     6,     2,     2,     4,     5,     6,     6,     0,     6
51,     6,     8,     8,     6,     0,     5,     5,     1,     7,     2,     0,     5,     4,     3,     5,     4,     9,     4,     1,     4
52,     4,     8,    10,     7,     0,     6,     5,     4,    10,     1,     2,     5,     4,     2,     2,     2,     6,     6,     0,     1
53,     3,     6,     8,     3,     0,     9,     6,     3,     6,     1,     0,     4,     4,     2,     4,     6,     7,     7,     0,     3
54,     5,     3,     7,     7,     6,     5,     6,     5,     4,     8,     3,     6,     6,     6,     1,     3,     7,     7,     5,     2
55,     4,     4,     9,     4,     0,     8,     2,     3,     7,     2,     2,     8,     1,     1,     3,     2,     8,     4,     0,     2
56,     3,     1,     5,     7,     4,     6,    10,     4,     1,    10,     9,     7,     7,     3,     5,     4,     7,     5,     4,     6
57,    10,     5,     6,     6,     7,     9,     9,     3,     5,     0,     1,     3,     3,     1,     1,     4,     2,     2,     6,     2
58,    10,     8,     8,     7,     7,     6,     9,     5,     5,     2,     0,     5,     6,     2,     1,     5,     1,     3,     5,     3
59,    10,     5,     9,     8,     7,     6,     6,     7,     7,     3,     3,     3,     5,     5,     1,     7,     0,     5,     5,     3
60,     7,     4,     5,     5,     9,     6,     8,     8,     6,     6,     1,     6,     6,     5,     4,     3,     7,     4,     3,     3
61,     0,     1,     1,     6,     5,     6,     8,     6,     1,     7,     9,     4,     8,     2,     6,     7,     9,     3,     7,     6
62,     4,     4,     8,     5,     0,     4,     4,     6,     9,     4,     1,     3,     6,     3,     4,     6,     7,     4,     1,     4
63,     9,     9,     6,     6,     7,     8,     8,     6,     6,     2,     2,     6,     5,     3,     3,     4,     1,     3,     4,     1
64,     6,     5,    10,     5,     0,     9,     2,     5,    10,     3,     1,     6,     3,     4,     3,     6,     9,     6,     1,     1
65,     5,     7,     7,     7,     1,     8,     3,     6,     8,     5,     1,     4,     6,     1,     1,     7,     8,     5,     1,     2
66,     8,     3,     9,     9,     4,     7,     6,     5,     3,     7,     2,     5,     6,     6,     2,     7,    10,     5,     5,     1
67,     7,     1,     9,     5,     8,     6,     6,     2,     0,     8,     2,     4,     3,     2,     1,     8,     7,     3,     2,     4
68,     5,     4,     9,     5,     0,     7,     3,     5,     4,     4,     0,     5,     3,     3,     2,     7,     6,     4,     2,     2
69,     0,     4,     2,     8,     2,     5,     5,     5,     1,     7,     7,     7,     7,     4,     6,     3,     6,     4,     5,     7
70,     4,     3,     6,     7,     8,     4,     6,     5,     6,     6,     3,     6,     7,     4,     3,     5,    10,     3,     7,     0
71,     5,     3,     7,     5,     5,     6,     6,     3,     5,     6,     2,     6,     3,     7,     3,     5,     7,     5,     5,     0
72,     7,     3,     6,     8,     4,     4,     8,     7,     0,    10,     2,     3,     4,     6,     2,     4,    10,     5,     4,     0
73,     2,     0,     1,     7,     4,     4,    10,     5,     0,     6,     7,     4,     7,     1,     6,     5,    10,     6,     5,     6
74,    10,     8,     6,     8,     6,     7,     9,     4,     6,     5,     1,     7,     2,     3,     2,     2,     1,     1,     3,     3
75,     7,     6,     8,     7,     0,     6,     5,     6,     9,     2,     0,     5,     2,     2,     7,     5,     4,     7,     2,     5
76,     1,     2,     2,     6,     3,     7,     7,     7,     1,     9,     4,     6,     7,     1,     4,     8,     9,     4,     4,     6
77,     6,     8,     7,     4,     0,     9,     5,     2,     7,     2,     1,     5,     3,     1,     1,     5,    10,     5,     0,     3
78,     5,     5,     9,     4,     0,     7,     4,     4,     9,     1,     2,     4,     1,     1,     4,     4,     7,     5,     0,     1
79,     3,     1,     5,     8,     2,     8,    10,     6,     2,     9,     7,     4,     4,     2,     5,     3,     9,     6,     3,     4
80,    10,     7,     7,     6,     9,     6,     7,     3,     6,     3,     0,     6,     5,     3,     1,     5,     1,     6,     7,     0
81,    10,     8,     7,     7,     7,     8,     6,     6,     5,     6,     3,     5,     4,     3,     5,     5,     0,     4,     6,     2
82,     4,     4,     8,     7,     8,     6,     5,     4,     4,     8,     1,     8,     4,     7,     4,     6,     4,     6,     4,     3
83,     6,     9,     8,     9,     0,     9,     3,     5,     9,     2,     0,     7,     2,     1,     4,     3,     7,     5,     0,     1
84,     6,     8,     7,     7,     0,    10,     6,     4,     8,     1,     1,     4,     6,     3,     4,     2,     9,     5,     0,     2
85,     3,     1,     5,     9,     3,     7,     9,     4,     2,     7,     8,     4,     4,     2,     4,     5,     8,     5,     6,     7
86,    10,     7,     7,     9,     7,     8,     9,     5,     2,     2,     1,     7,     6,     2,     2,     3,     1,     4,     6,     3
87,     9,     8,     7,     8,    10,     7,     7,     5,     7,     3,     0,     9,     6,     3,     4,     6,     1,     2,     5,     2
88,     2,     0,     2,     8,     2,     7,     7,     5,     1,     9,     8,     7,     7,     2,     8,     5,     8,     6,     4,     7
89,     4,     5,    10,     3,     0,     7,     3,     3,     8,     2,     0,     5,     4,     0,     1,     5,     7,     1,     2,     4
90,     5,     5,     9,     7,     0,     4,     6,     4,    10,     0,     3,     4,     1,     3,     4,     5,     8,     5,     1,     1
91,    10,     9,     9,     7,     9,     4,    10,     3,     4,     1,     0,     6,     2,     2,     0,     5,     1,     4,     5,     4
92,     9,     8,    10,     8,     9,     5,     8,     4,     6,     2,     1,     5,     3,     1,     2,     4,     0,     4,     5,     1
93,     7,     6,     6,     7,     0,     9,     4,     2,     9,     2,     0,     6,     1,     5,     4,     6,     6,     3,     0,     2
94,     1,     0,     2,     9,     2,     7,     7,     4,     1,     9,     7,     7,     7,     3,     7,     5,     8,     6,     6,     6
95,     7,     7,     8,     5,     0,     8,     6,     2,     9,     1,     0,     7,     3,     2,     3,     5,     9,     4,     0,     5
96,     4,     1,     3,     7,     0,     8,     9,     6,     0,     9,    10,     6,     7,     2,     5,     2,     5,     2,     4,     4
97,    10,     7,     5,     7,     8,     6,     7,     5,     4,     1,     2,     5,     2,     2,     2,     4,     1,     7,     6,     0
98,     9,     8,     7,     8,     9,     7,     8,     4,     8,     1,     2,     4,     4,     6,     2,     4,     2,     8,     6,     4
99,     3,     6,     9,     6,     1,     8,     6,     6,     9,     4,     5,     3,     3,     1,     3,     7,     7,     5,     0,     4
100,     1,     5,     3,     9,     2,     6,     8,     4,     3,     9,     8,     7,     8,     1,     7,     7,    10,     4,     5,     5
101,     7,     7,    10,     7,     1,    10,     3,     5,     8,     3,     1,     5,     2,     2,     3,     7,     8,     6,     1,     2
102,     6,     0,     8,     9,     4,     7,     3,     8,     6,     9,     1,     3,     2,     6,     1,     5,     5,     4,     8,     0
103,     3,     4,     6,     9,     5,     5,     5,     6,     4,     6,     2,     5,     2,     6,     3,     3,     7,     3,     5,     1
104,     9,     7,     7,     8,     4,     6,     6,     5,     6,     3,     3,     6,     3,     4,     3,     5,     2,     4,     6,     2
105,     8,     8,     8,     4,     9,     5,     9,     5,     6,     2,     1,     6,     5,     3,     3,     5,     0,     8,     7,     2
106,     1,     1,     1,     8,     3,     4,     8,     6,     0,     8,     9,     3,     6,     1,     7,     6,     9,     7,     6,     7
107,     6,     7,    10,     5,     0,     5,     6,     7,     9,     3,     1,     7,     4,     1,     5,     3,    10,     6,     1,     2
108,     9,     9,     8,     8,     7,     7,     7,     6,     4,     2,     3,     5,     6,     3,     2,     5,     2,     7,     6,     1
109,     1,     1,     4,     8,     2,     4,     6,     6,     1,     8,     7,     6,     8,     2,     6,     7,     7,     6,     5,     6
110,     3,     3,     5,     7,     4,     8,    10,     5,     0,     7,     9,     5,     8,     3,     7,     4,     9,     3,     4,     7
111,     4,     5,    10,     8,     5,     4,     6,     4,     5,     9,     4,     5,     4,     7,     3,     5,     8,     3,     5,     3
112,     4,     7,    10,     8,     0,     7,     4,     4,     6,     3,     1,     7,     4,     3,     2,     4,     6,     8,     1,     4
113,    10,     9,     9,    10,     7,     5,     8,     7,     3,     2,     3,     5,     5,     3,     1,     4,     2,     4,     4,     3
114,     6,     6,     8,     4,     0,     7,     4,     5,    10,     2,     0,     4,     1,     1,     2,     5,     8,     4,     0,     3
115,     3,     8,     9,     5,     0,     7,     4,     5,     8,     3,     1,     1,     2,     4,     2,     7,     7,     4,     0,     4
116,     4,     0,     0,     7,     2,     7,    10,     5,     2,     8,     8,     4,     7,     2,     4,     7,     5,     5,     7,     5
117,     7,     5,     8,     7,     1,     9,     5,     3,     6,     2,     1,     7,     2,     1,     4,     4,     8,     5,     1,     6
118,     0,     2,     2,     9,     4,     7,     9,     5,     0,    10,     7,     5,     6,     3,     9,     5,     7,     3,     6,     7
119,     4,     7,     8,     5,     1,     6,     4,     6,     8,     2,     2,     5,     2,     1,     2,     4,     9,     2,     0,     3
120,     0,     3,     2,     6,     3,     8,     7,     6,     2,     9,     9,     3,     7,     2,     7,     5,     7,     3,     4,     4
121,    10,     8,     7,     9,     9,     6,     7,     8,     5,     1,     3,     3,     3,     1,     1,     5,     1,     4,     9,     1
122,     3,     3,     6,     8,     5,     9,     9,     3,     3,     9,     4,     4,     3,     6,     1,     7,     8,     3,     6,     3
123,     3,     2,     7,     5,     5,     6,     6,     6,     4,     8,     2,     5,     7,     4,     5,     4,     7,     6,     5,     3
124,     0,     2,     3,     8,     1,     7,     7,     5,     0,     8,     9,     6,     7,     1,     7,     3,     8,     5,     6,     5
125,     7,     6,     8,     6,     5,     6,     4,     5,     5,     8,     1,     6,     5,     4,     3,     4,     7,     5,     7,     3
126,     7,     5,     8,     5,     1,     6,     7,     6,     6,     4,     0,     7,     3,     6,     3,     8,     8,     8,     0,     4
127,     2,     4,     4,     7,     1,     7,     7,     5,     1,     8,     7,     7,     9,     5,     6,     5,     6,     4,     6,     8
128,     5,     3,     6,     5,     8,     7,     6,     6,     0,     8,     3,     6,     3,     7,     4,     3,     7,     5,     2,     2
129,    10,     6,     9,     8,     9,     6,     6,     5,     2,     1,     3,     4,     8,     1,     1,     6,     0,     4,     3,     1
130,     2,     4,     2,     6,     2,     6,     7,     5,     1,     7,    10,     8,     7,     4,     6,     5,     8,     6,     6,     5
131,     4,     6,     7,     7,     0,     8,     5,     5,     8,     2,     0,     6,     1,     5,     4,     5,     7,     3,     2,     3
132,     3,     4,     9,     6,     1,     8,     7,     4,     9,     1,     1,     7,     2,     3,     4,     7,     4,     6,     1,     3
133,     8,     3,     6,     8,     5,     8,     2,     6,     5,     9,     2,     5,     5,     4,     6,     7,     3,     6,     6,     1
134,     3,     2,     6,     7,     4,     5,     5,     5,     5,     8,     1,     7,     3,     3,     1,     2,     8,     4,     6,     3
135,     1,     1,     2,     8,     5,     6,     7,     6,     0,     7,     6,     5,     7,     1,     5,     5,     9,     2,     8,     3
136,     6,     1,     6,     4,     5,     4,     5,     6,     7,     8,     0,     3,     3,     6,     1,     5,     9,     5,     5,     4
137,     1,     3,     6,     6,     7,     5,     6,     3,     3,     9,     3,     3,     4,     7,     4,     4,     8,     7,     6,     2
138,     5,     6,     6,     4,     0,     6,     4,     3,    10,     1,     0,     6,     2,     1,     2,     3,     9,     6,     0,     5
139,    10,     7,     9,     8,     8,     5,     9,     3,     4,     1,     3,     5,     4,     4,     0,     4,     2,     4,     6,     4
140,     3,     1,     3,     9,     0,     8,     7,     8,     0,     7,     8,     4,     9,     3,     4,     5,     7,     6,     7,     6
141,     4,     1,    10,     5,     6,     5,     8,     6,     3,     6,     2,     7,     3,     8,     0,     7,     6,     5,     4,     0
142,     1,     1,     4,     7,     2,     6,     8,     4,     1,     8,     5,     4,     8,     2,     4,     7,     6,     4,     6,     9
143,     4,     3,     2,     8,     4,     5,     9,     5,     2,     8,     7,     3,     6,     2,     7,     4,     9,     5,     4,     5
144,    10,     7,     9,     7,     9,     7,     7,     6,     3,     1,     1,     8,     3,     4,     0,     8,     0,     4,     5,     4
145,     2,     2,     1,     9,     3,     3,     8,     5,     1,    10,     6,     5,     8,     3,     6,     5,     9,     4,     4,     5
146,     9,     9,     6,     6,     9,     6,     8,     7,     6,     2,     4,     8,     4,     1,     1,     6,     4,     2,     4,     1
147,     1,     0,     1,     7,     3,     2,     6,     6,     2,     9,     9,     3,     9,     6,     5,     6,     7,     4,     4,     5
148,     6,     8,     6,     7,     0,     7,     4,     5,     6,     1,     0,     5,     3,     1,     2,     4,     9,     4,     0,     6
149,     5,     3,     6,     6,     6,     6,     8,     7,     5,     9,     2,     5,     1,     7,     3,     3,     7,     6,     6,     2
150,    10,     7,     9,     9,     9,     7,     8,     3,     7,     1,     3,     4,     5,     0,     1,     5,     2,     2,     5,     2
151,     2,     3,     1,     9,     3,     4,     8,     4,     0,     8,     8,     6,     6,     6,     8,     6,     9,     6,     7,     6
152,     2,     1,     1,     7,     2,     5,     9,     6,     2,     9,     8,     6,     7,     3,     7,     5,     7,     5,     5,     7
153,     2,     3,     0,     8,     4,     8,    10,     5,     2,     6,     7,     8,     6,     2,     6,     6,     8,     7,     7,     4
154,     1,     2,     1,    10,     2,     6,     6,     3,     3,     6,     9,     6,     7,     2,     6,     4,     7,     4,     8,     7
155,     9,     7,     7,     7,     8,     7,     8,     5,     6,     3,     2,     6,     3,     3,     1,     5,     0,     4,     4,     2
156,    10,     7,     7,     6,     8,     8,     8,     8,     4,     2,     2,     4,     7,     2,     2,     8,     2,     5,     6,     3
157,     2,     1,     2,     5,     2,     5,     7,     5,     2,     8,     6,     6,     5,     1,     8,     5,     7,     5,     5,     6
158,     1,     2,     1,     9,     2,     7,     8,     5,     1,     5,     6,     3,     8,     1,     5,     3,     9,     4,     5,     7
159,     4,     1,     7,     7,     6,     6,     9,     4,     1,    10,     2,     5,     3,     5,     5,     3,     6,     3,     3,     3
160,    10,     7,     7,    10,     8,     6,     9,     6,     9,     3,     1,     5,     5,     3,     5,     6,     2,     5,     4,     1
161,     4,     6,     9,     6,     0,     8,     4,     4,     9,     3,     1,     7,     4,     3,     2,     5,     7,     5,     1,     4
162,    10,     8,     7,     8,     9,     4,     9,     7,     5,     2,     2,     5,     6,     1,     4,     2,     2,     3,     4,     2
163,     5,     6,     9,     5,     1,     7,     4,     4,    10,     4,     0,     8,     3,     3,     2,     7,     7,     6,     0,     2
164,     3,     1,     0,     7,     0,     9,     6,     2,     0,    10,    10,     8,     8,     4,     5,     3,     7,     5,     5,     8
165,     3,     3,     2,     9,     5,     6,     9,     8,     1,    10,     6,     5,     4,     4,     5,     7,     3,     3,     5,     5
166,     6,     4,     8,     7,     8,     6,     6,     2,     7,     8,     3,     5,     4,     6,     2,     8,     7,     3,     6,     3
167,     1,     4,     5,     8,     1,     6,     7,     5,     0,    10,     7,     6,     6,     3,     7,     5,     7,     7,     4,     7
168,     4,     2,     5,     6,     6,     5,     7,     6,     4,     8,     5,     6,     4,     3,     4,     5,     7,     5,     4,     1
169,     0,     0,     1,     8,     1,     6,     9,     5,     0,     9,     7,     8,     8,     2,     6,     4,     9,     6,     4,     6
170,     9,     8,     6,     9,     8,     8,     9,     4,     4,     3,     4,     6,     5,     5,     3,     7,     3,     5,     4,     2
171,    10,     8,     8,     9,     8,     5,     8,     6,     7,     1,     2,     4,     6,     2,     5,     6,     0,     8,     3,     1
172,     2,     5,     3,     9,     0,     4,     7,     6,     0,    10,     8,     6,     8,     3,     6,     6,     7,     5,     5,     5
173,     6,     4,     7,     8,     5,     8,     5,     4,     4,     8,     4,     6,     4,     6,     1,     3,     9,     6,     5,     5
174,     1,     3,     2,    10,     3,     8,     7,     4,     1,     9,     9,     5,     7,     0,     7,     3,     6,     7,     4,     7
175,     3,     4,     3,     8,     3,     6,     9,     4,     1,    10,     9,     6,     8,     3,     2,     5,     9,     3,     5,     7
176,     4,     1,     0,     8,     1,     5,     6,     6,     2,     9,     8,     2,     8,     5,     5,     2,     9,     5,     2,     7
177,    10,     7,     5,     9,     9,     4,     9,     7,     3,     0,     1,     7,     3,     2,     1,     5,     1,     4,     6,     2
178,     4,     6,     9,     7,     0,     8,     2,     3,     9,     2,     1,     5,     3,     3,     4,     4,     6,     3,     1,     1
179,     1,     4,     1,     9,     4,     7,     8,     6,     2,     9,     8,     3,     8,     1,     4,     5,     9,     4,     7,     9
180,     1,     1,     2,     5,     5,     2,     9,     6,     1,     9,     9,     7,     7,     2,     9,     4,     8,     8,     5,     7
181,     5,     5,     7,     9,     6,     7,     7,     3,     6,     7,     2,     7,     4,     6,     5,     2,     6,     3,     4,     1
182,     4,     3,     4,     7,     2,     5,     7,     6,     2,     8,     5,     7,     8,     2,     7,     3,     6,     4,     6,     4
183,     6,     4,     6,     9,     5,     4,     5,     6,     6,     9,     1,     2,     3,     5,     2,     6,     8,     6,     6,     1
184,     3,     7,     8,     8,     0,     8,     4,     5,     7,     0,     1,     3,     3,     5,     1,     2,     5,     5,     1,     4
185,     6,     5,     9,     6,     0,     9,     3,     4,     8,     1,     0,     2,     2,     1,     2,     2,     9,     4,     0,     3
186,     4,     7,     7,     6,     0,     8,     2,     3,     7,     2,     0,     4,     2,     2,     6,     3,     3,     4,     1,     5
187,     4,     0,     1,     9,     2,     7,     8,     4,     2,     8,     6,     5,     6,     1,     6,     5,     8,     5,     5,     6
188,     3,     2,     8,     8,     5,     9,     6,     4,     6,     9,     3,     7,     6,     4,     4,     3,     8,     5,     5,     0
189,     4,     2,     6,     6,     5,     7,     7,     5,     5,     6,     3,     8,     5,     5,     2,     4,     8,     5,     6,     2
190,     4,     4,     9,     5,     1,     5,     5,     3,     6,     3,     2,     5,     2,     4,     2,     6,     9,     3,     1,     4
191,     3,     6,     0,     8,     4,     8,     5,     3,     2,     8,     8,     4,     3,     3,     6,     6,     8,     4,     4,     4
192,     8,     8,     9,     6,     0,     8,     5,     3,     6,     4,     0,     4,     2,     3,     4,     3,     9,     5,     1,     3
193,     3,     2,     2,     7,     1,     8,     7,     7,     2,     9,     8,     5,     5,     1,     7,     6,    10,     7,     3,     7
194,     2,     2,     1,     7,     0,     5,     9,     3,     2,     9,     8,     4,     5,     2,     4,     5,     8,     5,     3,     5
195,     5,     8,     8,     7,     0,     5,     6,     4,     7,     2,     1,     4,     1,     3,     7,     1,     9,     4,     1,     2
196,     6,     6,     7,     7,     0,     6,     5,     7,     8,     1,     2,     2,     4,     1,     1,     3,     8,     4,     1,     2
197,    10,     9,     5,     7,     8,     6,     7,     5,     4,     1,     1,     5,     4,     2,     1,     6,     0,     4,     8,     0
198,     6,     2,     8,     7,     9,     5,     6,     8,     6,     6,     2,     7,     8,     3,     1,     6,     6,     5,     5,     0
199,    10,     7,     6,     8,     5,     7,    10,     6,     6,     1,     3,     7,     3,     3,     2,     7,     0,     4,     3,     1
200,     5,     5,     9,     8,     0,     8,     6,     5,    10,     2,     1,     6,     3,     3,     1,     4,     3,     4,     0,     1
201,     5,     8,     8,     8,     0,     8,     3,     7,     7,     2,     0,     3,     5,     4,     3,     5,     7,     5,     1,     3
202,     5,     2,     7,     7,     5,     4,     7,     5,     7,     9,     2,     6,     0,     7,     3,     6,     8,     5,     5,     1
203,     6,     3,     6,     7,     9,     5,     5,     7,     3,     8,     0,     2,     5,     6,     3,     6,     9,     7,     3,     3
204,     6,     7,     9,     4,     0,     9,     7,     4,     8,     2,     1,     6,     3,     2,     1,     4,     7,     4,     0,     3
205,     2,     2,     3,     8,     4,     6,     7,     5,     0,     9,     8,     5,     9,     6,     7,     9,     9,     7,     3,     6
206,     9,     8,     8,    10,     9,     8,     8,     5,     6,     1,     1,     8,     6,     0,     1,     3,     1,     4,     4,     2
207,     3,     2,     6,     3,     7,     8,     6,     8,     6,     9,     2,     3,     5,     7,     3,     6,     4,     4,     5,     1
208,     1,     3,     3,     8,     4,     4,     7,     6,     0,     8,     9,     4,     6,     5,     6,     4,     7,     4,     2,     4
209,     7,     7,     8,     6,     0,     5,     5,     7,     9,     3,     2,     5,     2,     1,     6,     1,     8,     5,     0,     3
210,     1,     2,     2,     8,     3,     8,     6,     9,     0,     8,     8,     6,     6,     2,     5,     4,     9,     5,     6,     6
211,    10,     7,     8,     6,     7,     8,     7,     5,     4,     4,     0,     7,     5,     4,     3,     6,     1,     3,     5,     5
212,     5,     3,     7,     5,     8,     4,     8,     5,     4,     8,     2,     6,     5,     6,     2,     3,     5,     5,     6,     2
213,    10,     6,     9,     8,     9,     4,     8,     6,     4,     1,     1,     6,     4,     2,     2,     5,     0,     4,     6,     1
214,     3,     5,     7,     7,     5,     8,     5,     3,     6,     6,     2,     7,     8,     6,     1,     6,     7,     5,     4,     4
215,     8,     1,     6,     6,     7,     5,     6,     4,     4,     6,     3,     7,     4,     7,     2,     5,     8,     5,     9,     2
216,     4,     2,     9,     6,     4,     7,     6,     3,     5,     9,     1,     7,     2,     1,     4,     5,     9,     6,     4,     3
217,     9,    10,     7,     9,     9,     6,     8,     6,     8,     0,     4,     5,     3,     5,     3,     7,     0,     7,     6,     4
218,     5,     3,     4,     5,     4,     7,     7,     3,     7,    10,     2,     7,     4,     5,     2,     8,     8,     3,     4,     3
219,     6,     3,     7,     7,     4,     7,     6,     6,     7,    10,     1,     4,     4,     8,     5,     2,    10,     5,     5,     4
220,    10,     7,     5,     9,    10,     5,     7,     6,     4,     1,     0,     4,     2,     4,     1,     6,     0,     5,     5,     4
221,     4,     3,     7,     8,     6,     7,     6,     5,     3,     7,     1,     6,     4,     5,     3,     5,     5,     6,     5,     2
222,     3,     2,     3,     8,     3,     3,     9,     4,     2,     8,     9,     5,     5,     1,     6,     4,     9,     7,     6,     8
